state,action,qValue,reward,next_state
0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0$0$0$0$1$-1$0$0$0$0,1$0$0$0$0$0$0$0$0,0.62243825,0.0,-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0
-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0$-2$-1$-1$-1$-1$0$-1$0$0,0$0$0$0$0$1$0$0$0,0.9998092,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.99889225,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.999241,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.99932635,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.99940217,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.99952126,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.99972206,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.9999932,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0,0$0$0$0$0$1$0$0$0,0.9999136,1.0,-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0$-1$-1$-1$-1$-1$1$-1$0$0
